feature,tag,raw_tag,used_in_training
person_id,given,given,True
education_level,given,given,True
person_age,given,given,True
person_emp_exp_months,given,given,True
number_of_jobs_switched,given,given,True
total_experience_months,given,given,True
avg_tenure_months,given,given,True
person_income_monthly_inr,given,given,True
person_income_annual_inr,given,given,True
currency,given,given,True
loan_purpose,given,given,True
loan_amount_inr,given,given,True
credit_utilization_ratio,given,given,True
loan_id,given,given,True
person_gender,given,given,True
marital_status,given,given,True
loan_int_rate,given,given,True
credit_score,given,given,True
previous_loan_defaults_on_file,given,given,True
number_of_open_credit_lines,given,given,True
number_of_hard_inquiries,given,given,True
months_since_last_delinquency,given,given,True
number_of_public_records,given,given,True
co_applicant_income,given,given,True
co_applicant_credit_score,given,given,True
application_date,given,given,True
geographic_region,given,given,True
loan_tenure_years,given,given,True
